plate,mjd,ra,dec,ObjID,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,fiberID,z
1251,52964,66.1329140876864,27.9999230048011,1237660553302507678,20.06615,17.89794,16.65381,15.99245,15.57578,27,0.9672177
1251,52964,65.832820836388,28.2463885688271,1237660750872313997,19.74801,17.70339,16.5758,16.00681,15.67925,24,0.9677297
1256,52902,69.2204525446639,25.5934151414876,1237660760536252488,19.24579,17.00625,15.72529,15.02457,14.55732,495,0.9670829
1256,52902,69.4306797772595,25.5961632166583,1237660760536383617,19.88544,17.71789,16.33178,15.48654,15.0309,546,0.9666933
1256,52902,69.0769853492744,25.6430360519701,1237660760536187265,20.02389,17.99375,16.77268,16.09724,15.66443,480,0.9664965
1251,52964,64.6643828637148,28.6905436553509,1237660554913382607,20.05,17.97154,16.80574,16.17768,15.77005,186,0.9654958
1251,52964,64.9859075998499,28.5368299408017,1237660751946186767,19.15473,17.36191,16.45216,15.98696,15.72775,157,0.9665436
1251,52964,64.867190960953,27.4913698398499,1237660751945728326,19.7094,17.87357,16.95523,16.47209,16.21897,129,0.966594
1251,52964,64.8923940691567,27.5758124182525,1237660751945728581,19.55496,17.61963,16.57158,16.06454,15.68737,125,0.9667591
1251,52964,64.9076104685193,28.6083134660223,1237660751946186910,18.9836,17.07454,15.99816,15.44149,15.0935,161,0.96665
1251,52964,64.8994569544729,28.5472684501923,1237660751946186778,20.00709,18.02529,16.95138,16.40244,16.06086,164,0.9670492
1251,52964,65.2889284583715,28.6220203864652,1237660554376511578,20.0177,18.31945,17.41106,16.9692,16.73266,118,0.9669831
1251,52964,65.5950576414901,27.5237000663368,1237660553839181956,19.53387,17.74962,16.85348,16.3922,16.09508,8,0.9669961
1251,52964,64.8781740801214,28.4550787903766,1237660751946121505,19.94562,17.84689,16.69129,16.06719,15.6834,176,0.9670056
1251,52964,65.0149607801031,28.5865146587137,1237660751946186814,19.29262,17.50673,16.59622,16.14812,15.87575,160,0.9672322
1251,52964,64.8937224684786,27.8191876356169,1237660751945859358,19.85961,17.77032,16.60617,16.00705,15.63205,136,0.9673003
1256,52902,69.0585528505839,25.9051571024361,1237660559209398520,19.85521,17.72655,16.50584,15.85946,15.4411,470,0.9671937
1256,52902,69.6181066105052,25.2288521878056,1237660759999578261,21.56701,18.1035,16.69814,15.88704,15.36662,75,0.9673563
1256,52902,69.4302377522263,26.0675684557806,1237660761073254447,19.83735,17.54638,16.16612,15.34494,14.81894,564,0.9669839
1256,52902,69.3122494312227,25.0896328907461,1237660558135787744,19.70839,17.61487,16.40069,15.7467,15.33716,105,0.9669337
1256,52902,69.5166195721211,24.8617524954254,1237660759462642065,19.67967,17.75491,16.73524,16.20707,15.85554,70,0.967077
1256,52902,69.6277611342726,24.979303049213,1237660558135918693,20.35298,18.01938,16.6729,15.93903,15.50502,69,0.9668311
1256,52902,69.791136338158,25.127039637084,1237660558135984228,19.64573,17.32121,15.93775,15.14781,14.65699,68,0.9668059
1256,52902,69.5380881191004,25.0865529865159,1237660558135853318,20.09628,17.75159,16.25782,15.4211,14.85804,62,0.9667695
1256,52902,69.6640558055373,25.1156872008381,1237660558135918738,20.65198,18.17934,16.75281,15.90379,15.41905,65,0.9622139
1256,52902,69.9005637574433,25.1988216880291,1237660759999709225,19.80939,17.4665,16.09916,15.3077,14.81193,32,0.9602646
1256,52902,69.3206336528498,25.6062872389386,1237660760536318190,20.11707,18.02541,16.74704,16.0444,15.5831,507,0.9609636
1257,52944,71.3258104206607,25.6428579223707,1237660760537104479,19.02132,16.99896,15.85996,15.26176,14.87142,91,0.9670082
1256,52902,69.1118281104159,25.3862972448528,1237660558672527679,20.43971,18.21622,16.87497,16.10675,15.54642,148,0.9605851
1257,52944,72.6098311957161,25.2538607481995,1237664089683001676,20.25871,18.02141,16.78167,16.1335,15.71862,58,0.9667279
1257,52944,70.959889973395,25.3508143609093,1237660558673313804,20.32556,18.1537,16.94294,16.25067,15.775,151,0.9661235
2072,53430,83.6532091511195,-0.505915704268617,1237666407405323495,22.18555,20.79876,20.10018,19.83057,19.62526,143,0.9694657
1452,53112,185.899483874961,41.435311909377,1237661965819773193,21.93693,20.57144,19.69807,19.49292,18.88646,210,0.9731159
2194,53904,265.980400679824,25.1673752316917,1237665571453077316,22.05652,20.44017,19.72853,19.51765,19.39807,198,0.968106
2565,54329,313.370237411714,55.8259063164789,1237672025699650130,20.67774,18.74919,17.58005,16.99515,16.57462,3,0.9686088
2325,54082,345.356320941999,6.30911244816233,1237669516898599132,21.1359,19.7528,19.21941,18.98104,18.82675,43,0.9790539
2354,53799,159.149796836141,29.7793524113104,1237665368503746631,21.09345,19.97841,19.07855,18.60772,18.18204,75,0.969018
3806,55505,124.19192730601,40.2235763551604,1237655108359684431,21.25439,20.24611,19.4888,19.25455,18.9931,338,0.9786673
4997,55738,256.877026253579,32.0276766271438,1237655501888553113,21.68584,20.67858,19.95006,19.76682,19.51032,704,0.9694704
6012,56101,214.864189315035,28.5938681951227,1237665329863721065,20.72351,19.53417,18.55036,18.10952,17.78717,722,0.9719201
4347,55830,30.9619119351727,-2.11419626235506,1237678889596879051,20.68441,19.30748,18.52414,18.34764,18.00291,732,0.9682037
4409,55883,349.187620841354,5.40375592354853,1237679006095835437,21.96256,20.8456,20.13293,19.6165,19.22195,141,0.9741146
