Title:   The MACHO Project LMC Variable Star Inventory. XII. 
Three Cepheid Variables in Eclipsing Binaries
Authors: The MACHO Collaboration 
===========================================================
Byte-by-byte Description of file: tab1.txt
-----------------------------------------------------------
   Bytes Format Units   Label     Explanations
-----------------------------------------------------------
   1- 13  F13.5  days    HJD	  Heliocentric Julian Date
  15- 21  F7.4   mag     Vmag     V magnitude
  23- 28  F6.1   mag     e_Vmag   error in V magnitude
  31- 34  A5     ---     Source   Source of obervation
-----------------------------------------------------------
2449074.95500 14.6530 0.0150 MACHO
2449075.06470 14.6520 0.0150 MACHO
2449075.96150 14.6840 0.0150 MACHO
2449076.99790 14.7080 0.0150 MACHO
2449077.11200 14.7190 0.0150 MACHO
2449081.02760 14.7020 0.0150 MACHO
2449082.99210 14.6240 0.0160 MACHO
2449083.94080 14.6240 0.0160 MACHO
2449084.97280 14.6290 0.0150 MACHO
2449085.94290 14.6740 0.0160 MACHO
2449088.06740 14.6020 0.0150 MACHO
2449088.96770 14.6030 0.0150 MACHO
2449089.97160 14.6390 0.0150 MACHO
2449093.90660 14.5990 0.0150 MACHO
2449098.04000 14.6050 0.0150 MACHO
2449099.02010 14.6120 0.0150 MACHO
2449099.89960 14.6370 0.0150 MACHO
2449100.00620 14.6440 0.0150 MACHO
2449100.89800 14.6700 0.0150 MACHO
2449101.91230 14.6740 0.0150 MACHO
2449103.90870 14.6020 0.0150 MACHO
2449106.98910 14.6790 0.0150 MACHO
2449107.08570 14.6770 0.0150 MACHO
2449107.92590 14.6000 0.0150 MACHO
2449108.06110 14.6070 0.0150 MACHO
2449108.91070 14.6100 0.0150 MACHO
2449111.97210 14.6680 0.0160 MACHO
2449114.90120 14.6390 0.0150 MACHO
2449114.92780 14.6400 0.0150 MACHO
2449116.05770 14.6740 0.0150 MACHO
2449117.91360 14.5950 0.0150 MACHO
2449118.88580 14.6050 0.0150 MACHO
2449120.89230 14.6660 0.0150 MACHO
2449123.89490 14.6090 0.0150 MACHO
2449124.89170 14.6390 0.0150 MACHO
2449125.88740 14.6720 0.0150 MACHO
2449127.89620 14.5950 0.0150 MACHO
2449130.93080 14.6780 0.0150 MACHO
2449132.02100 14.6590 0.0160 MACHO
2449133.01470 14.6070 0.0160 MACHO
2449133.96060 14.6120 0.0150 MACHO
2449133.99750 14.6110 0.0150 MACHO
2449134.89450 14.6390 0.0150 MACHO
2449135.87580 14.6770 0.0150 MACHO
2449135.88020 14.6710 0.0150 MACHO
2449140.89280 14.6570 0.0160 MACHO
2449141.30450 14.6870 0.0150 MACHO
2449143.88580 14.6060 0.0150 MACHO
2449144.28980 14.6270 0.0150 MACHO
2449144.87990 14.6420 0.0150 MACHO
2449146.87520 14.6760 0.0150 MACHO
2449152.87480 14.5910 0.0150 MACHO
2449153.28700 14.5970 0.0150 MACHO
2449153.88790 14.6110 0.0150 MACHO
2449154.88080 14.6510 0.0150 MACHO
